simpleName,repList,,count,samID,newsamID,comments,latitude,longitude,uniqIDnowuseless,DisplayName
leicestershire,leicester shire|leicestershire,,5,966,966,,52.71666667,-1.183333333,966,Leicestershire
laplata,la plata,,5,968,968,,-34.92111111,-57.95444444,968,La Plata
labaca,la baca,,5,970,970,,28.61555556,-96.62972222,970,La Baca
kedar,kedar,,5,971,971,Biblical place,NA,NA,971,Kedar
jehoshaphat,jehoshaphat|je hoshaphat,,5,972,972,Biblical place,NA,NA,972,Jehoshaphat
jafna,jafna,,5,973,973,,9.664722222,80.01666667,973,Jafna
islington,islington|isling ton,,5,975,975,,51.544,-0.1027,975,Islington
inchdorrock|inchdorrocks,inchdorrock|inchdorrock's,,7,977|2186,977,|,57.48333333,-4.233333333,977|2186,Inchdorrock
huntington,huntington,,5,978,978,,52.3364,-0.1717,978,Huntington
huntingdon,huntingdon,,5,979,979,,52.3364,-0.1717,979,Huntingdon
holborn,holborn,,5,981,981,,51.5172,-0.1182,981,Holborn
hieres|hierico,hieres|hierico,,7,982|2209,982,|,45.7983,5.2947,982|2209,Hieres
hanoversquare,"hanover-square|hanover-square,|hanover- square",,5,984,984,,51.51388889,-0.144166667,984,Hanover-Square
hamiltonplace,hamilton-place,,5,985,985,,51.50405556,-0.150055556,985,Hamilton-Place
hamilton,hamilton,,5,986,986,,51.50405556,-0.150055556,986,Hamilton
hamborough,hamborough,,5,987,987,,51.5406,0.0017,987,Hamborough
gulfofmexico,gulf of mexico,,5,988,988,,25,-90,988,Gulf Of Mexico
guadaloupe|guadalupe|guadaluperivers,guadaloupe|guadalupe|guadalupe rivers,,10,1521|989|2243,989,||,16.25,-61.58333333,1521|989|2243,Guadaloupe
gretnagreen,gretna green|gretna-green,,5,990,990,,55.002,-3.066,990,Gretna Green
gloster,gloster,,0,993,993,"england, 5, moved to 7003",51.87,-2.24,993,Gloster
gibraltar|gibralter,gib raltar|gibraltar|gibralter,,8,994|1530,994,|,36.13166667,-5.351666667,994|1530,Gibraltar
fortwashington,fort- washington,,5,997,997,,40.85277778,-73.93805556,997,Fort- Washington
fontainebleau,fontainebleau,,5,998,998,,48.4097,2.7025,998,Fontainebleau
ferrara,ferrara,,5,999,999,,44.83333333,11.61666667,999,Ferrara
fayetteville,fayetteville,,5,1000,1000,,35.0525,-78.87805556,1000,Fayetteville
exchange,exchange,,5,1001,1001,,51.51361111,-0.087222222,1001,Exchange
epworth,epworth,,5,1002,1002,,53.5167,-0.8167,1002,Epworth
englishneighbourhood,english neighbourhood,,5,1003,1003,,40.86,-74,1003,English Neighbourhood
englefield,englefield,,5,1004,1004,,51.443,-1.1,1004,Englefield
engedi,en-gedi|engedi,,5,1005,1005,biblical place,NA,NA,1005,En-Gedi
eastflorida,east-florida|east florida,,5,1007,1007,,28.21447222,-81.58541667,1007,East-Florida
dorsetshire,dorset shire|dorsetshire,,5,1008,1008,,50.8,-2.3,1008,Dorsetshire
dettingen,dettingen,,5,1009,1009,,50.04888889,9.018333333,1009,Dettingen
deira,deira,,5,1010,1010,,53.96166667,-1.080555556,1010,Deira
cyrnus,cyrnus,,5,1011,1011,,32.825,21.85805556,1011,Cyrnus
cumberlandriver,cumberland river,,5,1012,1012,,37.14333333,-88.4075,1012,Cumberland River
croatia,croatia,,5,1013,1013,,45.16666667,15.5,1013,Croatia
cowe,cowe,,5,1014,1014,"cowee, in north carolina",35.265,-83.4175,1014,Cowe
condee,condee,,5,1015,1015,not a place! Prince of Condé,NA,NA,1015,Condee
colen|collen|cologn|cologne,colen|collen|cologn|cologne,,15,1224|1593|1592|1016,1016,|||,50.93638889,6.952777778,1224|1593|1592|1016,Colen
colchester,colchester,,5,1017,1017,,51.8917,0.903,1017,Colchester
clutha|clyde,clutha|clyde,,9,1018|1225,1018,|,55.67952778,-4.971305556,1018|1225,Clutha
clare,clare,,5,1019,1019,"One of these is actually Clare College at Cambridge: Francis, Misc. Poems/Disambiguate?",52.83333333,-9,1019,Clare
britishchannel|channel,british channel|channel,,7,2446|1021,1021,|,50,-2,2446|1021,British Channel
chalons,chalons,,5,1022,1022,,48.9575,4.365,1022,Chalons
calvary,calvary,,5,1024,1024,Biblical place,NA,NA,1024,Calvary
buxton,buxton,,5,1025,1025,,53.259,-1.911,1025,Buxton
bretagne,bretagne,,5,1028,1028,,48,-3,1028,Bretagne
brest,brest,,5,1029,1029,,48.38333333,-4.483333333,1029,Brest
baard|brassas|bressa|bressasound,baard|brassa's|bressa|bressa sound,,15,2504|1635|1031|1030,1030,headland on Bressa in shetland Islands|Island of Bressay in the Shetlands|Island of Bressay in the Shetlands|off Bressay in the Shetlands,60.15,-1.083333333,2504|1635|1031|1030,Baard
bombay,bombay,,5,1032,1032,,18.975,72.82583333,1032,Bombay
beziers,beziers,,5,1033,1033,,43.3475,3.218888889,1033,Beziers
besancon,besancon,,5,1035,1035,,47.24305556,6.021944444,1035,Besancon
beaucaire,beaucaire,,5,1036,1036,,43.80805556,4.644166667,1036,Beaucaire
bastile|bastille,bastile|bastille,,9,1037|1249,1037,"Bastille prison in Paris, France|Bastille prison in Paris, France",48.853333,2.369167,1037|1249,Bastile
bahamas,bahamas|baha mas,,5,1039,1039,,24.25,-76,1039,Bahamas
auvergne,auvergne,,5,1041,1041,region of France,45.33333333,3,1041,Auvergne
athos,athos,,5,1042,1042,Mount Athos,40.15722222,24.32638889,1042,Athos
arctic,arctic,,5,1044,1044,,90,-135,1044,Arctic
amboise,amboise,,5,1046,1046,City in France,47.40416667,0.98,1046,Amboise
zainesvilleohio,"zainesville, ohio,",,4,1049,1049,,39.94611111,-82.01222222,1049,"Zainesville, Ohio,"
zainesville,zainesville,,4,1050,1050,,39.94611111,-82.01222222,1050,Zainesville
wilmington,wilming ton|wilmington,,3,1053,1053,Wilmington in North Carolina,34.22333333,-77.91222222,1053,Wilmington
